,reviews,label,clean_reviews
24,Sumpaahhh baju 30rb sekeren iniiii gak ngerti lgi bener2 diluar ekspektasii😍😍bahannya tu bukan bahan abal2 gtuu adem gak kasar worth it lah pokoknyaa. Pasti koleksi warna lainnya nii thx ka❤️❤️,1.0,sumpaahhh baju rb keren iniiii tidak ngerti lagi bener luar ekspektasiibahannya itu bukan bahan abal gtuu adem tidak kasar worth it lah pokoknyaa pasti koleksi warna lain nii terimakasih ka
25,"Sumpah tipis banget kemeja nya terawang banget, dan simpel kemeja biasa aja gitu, terlalu mahal sih kalau harga sigitu",0.0,sumpah tipis banget kemeja nya terawang banget dan simpel kemeja biasa saja begitu terlalu mahal sih kalau harga sigitu
26,"Hem nya baguss bangett,mo meninggoy,gak mengecewakan gak nyesel juga,harga e mantullll.
Makasihhh udah dateng tepat waktuu.admin e fast respon bangett, Gedenya pas dibadan aku, Bb 47",1.0,hem nya baguss bangettmo meninggoygak kecewa tidak sesal jugaharga e mantullll makasihhh sudah datang tepat waktuuadmin e fast respon bangett besar pas bad saya bb
27,adem bahannya ga terlalu tipis ga terlalu tebal jugaa,1.0,adem bahan tidak terlalu tipis tidak terlalu tebal jugaa
28,"Bajunya dasarnya kasar nggak soft jadi nggak menyerap keringat dan tipis, nerawang juga",0.0,baju dasar kasar tidak soft jadi tidak serap keringat dan tipis nerawang juga
29,Lmyan baguss bhanya bju putih emang harus pake daleman yaa ssukses terus seller terimakasih,1.0,lumayan baguss bhanya bju putih emang harus pakai dalem yaa ssukses terus jual terimakasih
30,"Ukurannya pas,, bahan gak terlalu panas. Makasih babang kurir",1.0,ukur pas bahan tidak terlalu panas terimakasih babang kurir
31,"barang cepet bangetttt nyampenya gilaaaakkkkkk
pesen kemarin pagi tadi sore nyampe tau aja klo urgent😁
bahan lumayan kayanya agak nerawang dikit gapapa tinggal pake manset baju
dan ada sedikit noda di kerahnya🙁tapi gapapa overall okeelahh maciewwww seleerrrrrrrr❤❤❤❤❤",1.0,barang cepat bangetttt nyampenya gilaaaakkkkkk pesan kemarin pagi tadi sore sampai tau saja kalau urgent bahan lumayan kaya agak nerawang sedikit tidak apa tinggal pakai manset baju dan ada sedikit noda di kerahnyatapi tidak apa overall okeelahh maciewwww seleerrrrrrrr
32,"Bahan alus, tipis tapi sepertinya enggak nerawang kalo warna gelap. Pengiriman cepet. Recomended lah buat ganti2",1.0,bahan alus tipis tapi seperti enggak nerawang kalau warna gelap kirim cepat recomended lah buat ganti
33,Kecil brrrooo 120cm g segitu.entahlah harus komen apa. Kalo bahan tipis g masalah. Tapi ukurannya bukan 120,0.0,kecil brrrooo cuma tidak segituentahlah harus komen apa kalau bahan tipis tidak masalah tapi ukur bukan
34,Okesih. Cuma ketiaknya yg kekecilan buatku. Kayaknya mau ku jual lg,0.0,okesih cuma ketiak yang kecil buat kayak mau ku jual lagi
35,"Barangnya udh smpee. Pengemasan nyaa lamaa bgtt. Mngkin krn 12.12. pengirimannya jg telat nyampee. Bahannya adem. Ga tebal, ga tipis jgaa. Worth it to buy lah. Anw, army nya lumayan gelap dr yg di foto yaa. But ttp oke sih",0.0,barang sudah smpee emas nyaa lamaa bgtt mungkin karena kirim juga telat nyampee bahan adem tidak tebal tidak tipis jgaa worth it untuk buy lah anw army nya lumayan gelap dari yang di foto yaa but ttp oke sih
36,"Bahann nya baguss poll,gak terlalu Merawang,gak panas dipake juga,three betsss SUKAA bangettt😍😍😍😍",1.0,bahann nya baguss pollgak terlalu merawanggak panas pakai jugathree betsss sukaa bangettt
37,bahanya kok tipis banget ya terus agak kaku kayak panas gitu tapi gak tau kalo udah di cuci ntar gimana,0.0,bahanya kok tipis banget ya terus agak kaku seperti panas begitu tapi tidak tau kalau sudah di cuci nanti bagaimana
38,Real picture tp ternyata kekecilan sama aku 😭😭😭 jadi gk bs makai duhh siapa yang mo beliii jual rugi ajalahhh,0.0,real gambar tetapi nyata kecil sama saya jadi tidak bisa pakai duhh siapa yang mau beliii jual rugi ajalahhh
39,"Tdk real pick kecewa di, tapi ya emang harganya sesuai,40 minta Slamet😅😅😅😅😅😅",0.0,tidak real pick kecewa di tapi ya emang harga sesuai minta slamet
40,"Ini pembelian ke 2 di toko ini tapi kali ini agak kecewa karna baju yg warna putih nya kotor di bagian belakang sama depan nya juga. Terus yg baju putih kyknya lebih besar dari ukuran yg lain 
Tapi masih bisa di pakai. nanti klw noda nya bisa hilang bintangnya aku ubah lagi",0.0,ini beli ke di toko ini tapi kali ini agak kecewa karena baju yang warna putih nya kotor di bagi belakang sama depan nya juga terus yang baju putih seperti lebih besar dari ukur yang lain tapi masih bisa di pakai nanti kalau noda nya bisa hilang bintang saya ubah lagi
41,"baguss banget, bahan ga terlalu tipis juga ❤️😭",1.0,baguss banget bahan tidak terlalu tipis juga
42,pengiriman agak lama😁,0.0,kirim agak lama
43,Bajunya kotor di bagian leher,0.0,baju kotor di bagi leher
44,Kaka kerahnya ko bolong pengiriman jg agak lama,0.0,kaka kerah ko bolong kirim juga agak lama
45,Kecewa..bngaaaatt..kirain katun ternyata gk...kayak kain kafan gitu..bahanya tidak jatuh...,0.0,kecewabngaaaattkirain katun nyata gkkayak kain kafan gitubahanya tidak jatuh
46,"Bahan lumayan dengan harga segitu, cuman warna yang dikirim beda sma yang di foto, pesan mocca tpi yang datang lebih gelap dari pada yang di foto, malah kyak coklat pramuka",0.0,bahan lumayan dengan harga segitu cuma warna yang kirim beda sma yang di foto pesan mocca tapi yang datang lebih gelap dari pada yang di foto malah seperti cokelat pramuka
47,Kedua kaliny beli kemeja dsni lembut bgt lumayan tebel jg pdhl hargany ga mahal,1.0,dua kaliny beli kemeja sini lembut banget lumayan tebal juga padahal hargany tidak mahal
48,"Kecewa. Bahan y jelek, panas warnanya juga gak sesuai ekspektasi. Kancing baju y gak sesuai foto. Emang ya ada harga ada rupa 😅",0.0,kecewa bahan y jelek panas warna juga tidak sesuai ekspektasi kancing baju y tidak sesuai foto emang ya ada harga ada rupa
49,"Kemejanya bagusss bangetttt, nyesel sih cuma beli 1, tp gapapa nanti order lagi hehe, makasi seller yg sudah amanah & mas kurir..",1.0,kemeja bagusss bangetttt sesal sih cuma beli tetapi tidak apa nanti order lagi hehe makas jual yang sudah amanah mas kurir
50,"Bahan bagus adem dipake tebal jugaa. Cuma pengiriman agak lama
Tapi barang sangat puass",1.0,bahan bagus adem pakai tebal jugaa cuma kirim agak lama tapi barang sangat puass
51,"Pengiriman lama dan kualitas produk sangat2 tipis nerawang, mnyesal belanja d toko ini",0.0,kirim lama dan kualitas produk sangat tipis nerawang mnyesal belanja d toko ini
52,"Keterangan di gambar panjang baju 64, tapi ini 60cm,  sedikit kecewa..",0.0,terang di gambar panjang baju tapi ini cuma sedikit kecewa
53,"Jelek bgtttttttt,nyesel.belinya,bahanya tipiss bgt, gk sesuai dgn ekspetasi",0.0,jelek bgttttttttnyeselbelinyabahanya tipiss banget tidak sesuai dengan ekspetasi
54,Agak kecewa sih modelnya kaku banget kaya mau buat kerja training padahal di gambar buat casual gitu huh,0.0,agak kecewa sih model kaku banget kaya mau buat kerja training padahal di gambar buat casual begitu huh
55,"Kainnya sangat tipis dan kemejanya kekecilan, pengirimannya lama banget. Nyesel bnget udh pesan",0.0,kain sangat tipis dan kemeja kecil kirim lama banget sesal bnget sudah pesan
56,"Model tunik ini sangat cantik, warnanya juga grey cantik. Harganya reasonable. Cuma, pengirimannya lama banget. It's a good product, though.",1.0,model tunik ini sangat cantik warna juga grey cantik harga reasonable cuma kirim lama banget its a good produk though
57,"Pesanan baru nyamapai ni, pengiriman lama hampir 3 minggu. Bahannya jelek, buat harga segini mahal dengan bahan yg sangat tipis.",0.0,pesan baru nyamapai ni kirim lama hampir minggu bahan jelek buat harga gin mahal dengan bahan yang sangat tipis
58,"warna abu nya lebih gelap jd seperti wrn hitam, untuk ukurannya termasuk kecil jd xxl seperti xl, bahan nya tipis ga begitu tebal",0.0,warna abu nya lebih gelap jadi seperti warna hitam untuk ukur masuk kecil jadi xxl seperti xl bahan nya tipis tidak begitu tebal
59,Bahannya adem dan bagus cuma salah kirim warna... padahal pesen warna biru tapi dikirim warna grey untuk kurit anteraja ramah...,0.0,bahan adem dan bagus cuma salah kirim warna padahal pesan warna biru tapi kirim warna grey untuk rit anteraja ramah
60,"Trimksh sdh sampai...bhn agk tipis , tp lembut . Kirain akan sama warna abu muda seperti di pict ehhh datengnya abu gelap. Kalau seprti itu lain kali pictnya diganti biar yg beli g kecewa. Cuma saran aja sih... karena ini mau dijual lagi. Yg satu ga jdi dibeli deh. Smga kdepnnya lbh baik",0.0,trimksh sudah sampaibhn agak tipis tetapi lembut kirain akan sama warna abu muda seperti di pict ehhh datengnya abu gelap kalau seprti itu lain kali pictnya ganti biar yang beli tidak kecewa cuma saran saja sih karena ini mau jual lagi yang satu tidak jadi beli deh moga kdepnnya lebih baik
61,Warna nya gak sesuai dengan yang di foto...terlalu gelap .,0.0,warna nya tidak sesuai dengan yang di fototerlalu gelap
62,Paket q uda sampe dgn selamat tp syng agak mengecewakan kok wrnny beda ya abu tua tu,0.0,paket saya sudah sampai dengan selamat tetapi syng agak kecewa kok wrnny beda ya abu tua itu
63,Agak kecewa sih bahan ny tipis bangat,0.0,agak kecewa sih bahan ny tipis bangat
64,Lama nyampenya...,0.0,lama nyampenya
65,warna nya jreng banget kirain sof atau ga jreng ..jdi ngeri mau make nya ga cocok di badan sama bingung pake celana wrna apa.. ga enk wrnanya mending ambil wrna lain deh klo mau beli jng ccho klo model nya mendingan la,0.0,warna nya jreng banget kirain sof atau tidak jreng jadi ngeri mau pakai nya tidak cocok di badan sama bingung pakai celana warna apa tidak enak wrnanya mending ambil warna lain deh kalau mau beli jng ccho kalau model nya mending la
66,Ini warnanya lebih nyala tpi kalo difoto jadi gituu gk tau kenapaa trus kainnya licinn enak si kalo dipake aku sukaa cuma bingung stylenya jadi gimana soalnya lengannya cuma sampe depan siku ya agak panjang lah suka banget tpi jahitannya yang bgian dalem kurang rpi jadi mau dirapihin lagii,0.0,ini warna lebih nyala tapi kalau foto jadi gituu tidak tau kenapaa terus kain licinn enak si kalau pakai saya sukaa cuma bingung stylenya jadi bagaimana soal lengan cuma sampai depan siku ya agak panjang lah suka banget tapi jahit yang bgian dalem kurang rpi jadi mau dirapihin lagi
67,Awalnya ragu karna harga yg begitu murah bgt dan liat komentnya positif bgt jadi sukaa and mau beli 2 tpi takut nyesel karna suka bgt harga dan kualitas oke bgt so pertama kali beli langsung 5 dan 5²nya itu smuaa gada yg rusak/bikin kecewa omgtt trims reseller dan kurir amanah bgttt,1.0,awal ragu karena harga yang begitu murah banget dan lihat komentnya positif banget jadi sukaa and mau beli tapi takut sesal karena suka banget harga dan kualitas oke banget jadi pertama kali beli langsung dan nya itu smuaa tidak ada yang rusakbikin kecewa omgtt trims reseller dan kurir amanah bgttt
68,"bahan oke..
hanya saja ekspektasi nya tuu lengannya tidak cantung gitu, tapi ternyata cantung, whehe",0.0,bahan oke hanya saja ekspektasi nya tuu lengan tidak cantung begitu tapi nyata cantung whehe
69,Kecewa bnget 😭😭,0.0,kecewa bnget
70,Saya pesenya cardigan Batwing bukan pasmina sangat kecewa😖😠😠😠😠😠,0.0,saya pese cardigan batwing bukan pasmina sangat kecewa
71,Bajunya ada yang robek fatal bgt sumpah kecewa parah sama toko ini lain kali teliti lagi ya,0.0,baju ada yang robek fatal banget sumpah kecewa parah sama toko ini lain kali teliti lagi ya
72,"Baguss, cuma bahannya tipis dn keset"" gitu
Lengannya jga trlalu pendek cuma sesiku doang.
Sesuailah sama hargaa",0.0,baguss cuma bahan tipis dan keset begitu lengan juga terlalu pendek cuma sesi saja sesuai sama hargaa
73,"Saya sangat kecewa,saya pesan hitam kok abu abu yg sampe ,lain kali teliti dong kak,soalnya itu punya orang bukan punya saya 😡",0.0,saya sangat kecewasaya pesan hitam kok abu abu yang sampai lain kali teliti dong kaksoalnya itu punya orang bukan punya saya
74,kainnya mayan lah ukuran pas si  badan tpy ada cacat sedikit bolong di bagian pundak untung g keliatan tpy gpp,0.0,kain mayan lah ukur pas si badan tpy ada cacat sedikit bolong di bagi pundak untung tidak lihat tpy tidak-apa-apa
75,"Yang dikirim cuma baju aja, jilbabnya TDK ada..padahal pesan jilbabnya juga",0.0,yang kirim cuma baju saja jilbab tidak adapadahal pesan jilbab juga
76,Gilaaa inisih cardigan ternyaman enak banget buat pergi pergi,1.0,gilaaa inisih cardigan nyaman enak banget buat pergi pergi
77,"Respon seller sangat buruk. Dichat baik2, gak ada balasan. Baik2 dichat mau ajukan pembatalan malah ditolak. 3 hari kemudian saat barang baru proses kirim baru ada respon ""sudah dikirim kai"" yaiyalah😴😴. oiya di leher cardingannya cuttingannya aneh banget, mending gausah ada bagian itu.",0.0,respon jual sangat buruk dichat baik tidak ada balas baik dichat mau aju batal malah tolak hari kemudian saat barang baru proses kirim baru ada respon sudah kirim kai yaiyalah oiya di leher cardingannya cuttingannya aneh banget mending tidak usah ada bagi itu
78,"CEPET BANGET PENGIRIMAN NYA, PADAHAL DARI KUDUS JAWA TENGAH KE BEKASI CUMA SEHARI DOANG, SAMPE KAGET SENENG😭😭😍😍😍😍😍😍",1.0,cepat banget kirim nya padahal dari kudus jawa tengah ke bekas cuma hari saja sampai kaget senang
79,Gila bguss bngt thanksss pokonya bkl jdi langganan🖤,1.0,gila bguss bngt thanksss poko bkl jadi langgan
80,"Aneh bajunya bikin emosi ga pas bgt d badan Ngantung plus nyekek bgt d leher klok d pakek ke tarik dari lengannya pas d pakek bajunya,, nyesel bgt :'(",0.0,aneh baju bikin emosi tidak pas banget d badan ngantung plus nyekek banget d leher klok d pakai ke tarik dari lengan pas d pakai baju sesal banget
81,Dilengan pendek bngt and nerawang,0.0,leng pendek bngt and nerawang
82,Terlalu kecillll,0.0,terlalu kecillll
83,Pengiriman lama,0.0,kirim lama
84,Pesen 2 cuma dikirim 1 :(,0.0,pesan cuma kirim
85,"Ga sesuai motifnya, beda banget sama yg di foto, kancing yg notabene cuma hiasan aja ga lurus
Mengecewakan",0.0,tidak sesuai motif beda banget sama yang di foto kancing yang notabene cuma hias saja tidak lurus kecewa
86,"Bagus banget barangnya realpict. Pengiriman jg cepat. Sy kira lama krn review nya byk yg blg smpe 2mgu, ternyata cepat. Makasih seller.
Cuss beli lagi disini. Yg mau beli jgn ragu. Meskipun agak mahal, tp barang mmg nggak murahan.",1.0,bagus banget barang realpict kirim juga cepat saya kira lama karena tinjau nya banyak yang bilang sampai mgu nyata cepat terimakasih jual cuss beli lagi sini yang mau beli jangan ragu meski agak mahal tetapi barang memang tidak murah
87,"pengiriman lama bgt dahh trs di gambar warnanya agak cream muda gitu pas nyampe warnanya malah putih, dih",0.0,kirim lama banget dahh terus di gambar warna agak cream muda begitu pas sampai warna malah putih dih
88,"LIHAT DI NOTE NYA SY MAU BUNGA BESAR WARNA BIRU. YG DATANG BUNGA KECIL WARNA PUTIH. SY TIDAK TAU ANDA TIDAK MEMBACA NOTE NYA, ATAU ANDA TAU TAPI DIAM2 SAJA TIDAK INFO. ASAL MAIN KIRIM SAJA!!!",0.0,lihat di note nya saya mau bunga besar warna biru yang datang bunga kecil warna putih saya tidak tau anda tidak baca note nya atau anda tau tapi diam saja tidak informasi asal main kirim saja
89,"Gila bagus bangettt ga nyesel stok tinggal 1 cuss gw order
Makasih 🙏🙏😘sucses terus ya",1.0,gila bagus bangettt tidak sesal stok tinggal cuss saya order terimakasih sucses terus ya
90,"coraknya pas, ga beda jauh sama yang di foto. bahannya jatuh, adem, tipis tapi ga terlalu nerawang. pas di banget di aku yang tingginya 167 dan bbnya 52. pengiriman agak lama tapi gapapa, barang datang dengan selamat. thank you💐💌💋",1.0,corak pas tidak beda jauh sama yang di foto bahan jatuh adem tipis tapi tidak terlalu nerawang pas di banget di saya yang tinggi dan bbnya kirim agak lama tapi tidak apa barang datang dengan selamat thank kamu
91,"Baju nya cantik .
Ngak kecewa pokok nya .bahan nya juga adem .",1.0,baju nya cantik tidak kecewa pokok nya bahan nya juga adem
92,Kecepatan pengiriman nya lumayan lambat sih,0.0,cepat kirim nya lumayan lambat sih
93,lama di pengirimannya,0.0,lama di kirim
94,kedua kalinya beli disini. baguss kok. meskipun gak 0 ongkirrr kalo ke aku,1.0,dua kali beli sini baguss kok meski tidak ongkirrr kalau ke saya
95,"Bajunyaa baguuusss bangeettt😍 di aku tangannya ga terlalu pendek, pas deh pokoknya.",1.0,bajunyaa baguuusss bangeettt di saya tangan tidak terlalu pendek pas deh pokok
96,"Maaf foto aga melenceng, kemeja nya oke cuma kependekan di lengan, bahan jga oke. Sukaa ama kemeja nya cuma di aku aga kekecilan hehe",1.0,maaf foto aga lenceng kemeja nya oke cuma pendek di lengan bahan juga oke sukaa sama kemeja nya cuma di saya aga kecil hehe
97,Pasti nya cantik bajunya udh dua kali kok order disini foto itu order baju yg pertama,1.0,pasti nya cantik baju sudah dua kali kok order sini foto itu order baju yang pertama
98,"Baguss bgt asliii, ga usah ragu² buat chekout gyss! 
maap ga sempet ngefoto kemeja nya soalnya udah keburu dipake sma sppu",1.0,baguss banget asliii tidak usah ragu buat chekout gyss maap tidak sempet ngefoto kemeja nya soal sudah keburu pakai sma sppu
99,"Bajunya pendek bnget dan lengannya terlalu tinggi, sy fikir 7/8 jd gak bisa dipake buat pengguna hijab.. Kainnya tipis bget dan terawang jahitan agak kasar….",0.0,baju pendek bnget dan lengan terlalu tinggi saya fikir jadi tidak bisa pakai buat guna hijab kain tipis bget dan terawang jahit agak kasar
100,"Bahannya jatoh, adem, awalnya kok gede ternyata engga hihi maciw next order lagi",1.0,bahan jatuh adem awal kok besar nyata tidak hihi maciw next order lagi
101,"Wkwkw kocak, produk bajunya kurang sesuai dg yg di gambar. Tangannya lebih pendek. Gabisa gabilang aneh bgt ke ini baju",0.0,wkwkw kocak produk baju kurang sesuai dengan yang di gambar tangan lebih pendek tidak bisa tidak bilang aneh banget ke ini baju
102,"Bagussss polll , cuma emang model tangan nya 3/4 jadi kayak keliatan bngtt",1.0,bagussss polll cuma emang model tangan nya jadi seperti lihat bngtt
103,Alhamdulilah udah sampai. Adem parah sih bahannya walaupun tangannya rada kegedean lengannya tp mungkin emang modelnya begitu. Sukakk,1.0,alhamdulillah sudah sampai adem parah sih bahan walaupun tangan rada terlalu besar lengan tetapi mungkin emang model begitu sukakk
104,Ketiga kalinya beli disini cuttingnya emang cocok bangett bikin keliatan kurus weyy cuma kok skrg harganya naik sih😍🥺,1.0,tiga kali beli sini cuttingnya emang cocok bangett bikin lihat kurus weyy cuma kok sekarang harga naik sih
105,"Pengirimann cepet banget sih, bahnnnya adem rayon nya juga yang ngga terlalu tipis gitu, sukaaaa, bakal order lagi sih",1.0,pengirimann cepat banget sih bahnnnya adem rayon nya juga yang tidak terlalu tipis begitu sukaaaa bakal order lagi sih
106,"Plisss inimah nyesel beli 1 doangggg:') bahannya adem pisan ngga gerah sama sekali cuy, awalnya mikir bakal kegedean tpi malah jdi keliatan montok parah🤪🥰 cpt bgt lgi sehari dah nyampe, next beli lagi mau warna sage🥺",1.0,plisss inimah sesal beli doangggg bahan adem sekali tidak gerah sama sekali cuy awal berfikir bakal terlalu besar tapi malah jadi lihat montok parah cepat banget lagi hari sudah sampai next beli lagi mau warna sage
107,baguss bangettt racun dari kak Alda lengan ¾ model oversize,1.0,baguss bangettt racun dari kak alda lengan model oversize
108,bagus banget langganan disini ga bosan bahan adem sejuk dan ga nerawang,1.0,bagus banget langgan sini tidak bosan bahan adem sejuk dan tidak nerawang
109,Ke 2xnya beli disini emang paling top harga murah tapi ya ga murahan kualitasnya,1.0,ke xnya beli sini emang paling top harga murah tapi ya tidak murah kualitas
110,"Kereeeen nih bahan nya adem, sempet salah beli di toko sebelah dengan model yg sama tapi beda bahan, good seller recommended banget 👍🏻",1.0,kereeeen nih bahan nya adem sempet salah beli di toko belah dengan model yang sama tapi beda bahan good jual recommended banget
111,Ternyata warnanya gak sama kayak di foto. Warnanya lebih tua dari fotonya. Duh mdh2 cust aku gak kecewa.,0.0,nyata warna tidak sama seperti di foto warna lebih tua dari foto duh mudah cust saya tidak kecewa
112,"Udah 2 kali belanja disini,dan selalu baguss,but untuk bahan yang kali ini lebih kasar aja sii,yang kemarin bener² halus,
Maybe harus di cuci dulu baru dapet wbahan yang halus ✨✨",1.0,sudah kali belanja disinidan selalu bagussbut untuk bahan yang kali ini lebih kasar saja siiyang kemarin bener halus mungkin harus di cuci dulu baru dapet wbahan yang halus
113,kedua kalinya beli disini... emang ga pernah mengecewakan... thanks seller,1.0,dua kali beli sini emang tidak pernah kecewa terimakasih jual
114,"Paketnya nyanpenya cepett banget, biasanya 3haei paket ku baru nyampe eh yang ini cuma 2 hari. Kemejanya juga bagus bahannya lembut ga terlalu tebel juga ga terlalu tipis, worth it dengan harga segitu. Oh iya coksunya ga mirip pink, itu mungkin karena pake flash jadi kayak mirip pink gitu.",1.0,paket nyanpenya cepett banget biasa haei paket ku baru sampai eh yang ini cuma hari kemeja juga bagus bahan lembut tidak terlalu tebal juga tidak terlalu tipis worth it dengan harga segitu oh iya coksunya tidak mirip pink itu mungkin karena pakai flash jadi seperti mirip pink begitu
